Applicability,"Service 
",Reporting period,Category of illegal content,Description of Other,Scope,Number of orders to act against illegal content received,Number of orders to act against illegal content granted/complied with,Number of items moderated on the basis of an order to act against illegal content,Median time to inform the authority of the receipt of the order to act against illegal content,Median time to give effect to the order to act against illegal content,Number of orders to provide information,Number of orders to provide information granted/complied with,Median time to inform the authority of the receipt of the order to provide information,Median time to give effect to the order to provide information,Contextual information on Median time to give effect to the order to act against illegal content
All,Discord,2024-02-17/2024-12-31,KEYWORD_NONCOMPLIANCE_PRICING,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_HIDDEN_ADVERTISEMENT,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_OTHER,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_BIOMETRIC_DATA_BREACH,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_MISSING_PROCESSING_GROUND,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_DATA_FALSIFICATION,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_OTHER,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_DEFAMATION,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_DISCRIMINATION,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_HATE_SPEECH,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_OTHER,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_COPYRIGHT_INFRINGEMENT,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_DESIGN_INFRINGEMENT,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_PATENT_INFRINGEMENT,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_TRADE_SECRET_INFRINGEMENT,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_TRADEMARK_INFRINGEMENT,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_OTHER,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_VIOLATION_EU_LAW,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_VIOLATION_NATIONAL_LAW,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_MISINFORMATION_DISINFORMATION_DISINFORMATION,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_OTHER,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,STATEMENT_CATEGORY_NON_CONSENSUAL_BEHAVIOUR,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_NON_CONSENSUAL_ITEMS_DEEPFAKE,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_ONLINE_BULLYING_INTIMIDATION,,"France, Germany ",1,1,1,>.1,25h,"4,1 ","0, 0",>.1,"73h, 823h",
All,Discord,2024-02-17/2024-12-31,KEYWORD_STALKING,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_OTHER,"These actions are violations of Discord's Terms of Service that prohibit the harassment of Discord servers through raids, sexuual harassment, doxxing, as well as the unsolicited sharing of sexual imagery.","Estonia, France","2, 1","2,1","2,1 ",>.1,"85h, 47h","0, 1","0, 0",>.1,1h,
All,Discord,2024-02-17/2024-12-31,STATEMENT_CATEGORY_PORNOGRAPHY_OR_SEXUALIZED_CONTENT,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_ADULT_SEXUAL_MATERIAL,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_IMAGE_BASED_SEXUAL_ABUSE,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_OTHER,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,,"France, Lithuania, Germany, Portugal","5, 1","5, 1","5, 1",>.1,"103h, 554h","9, 0, 1, 1","2, 0, 0, 0 ",>.1,"358h, 410h, 359h",
All,Discord,2024-02-17/2024-12-31,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_UNSAFE_CHALLENGES,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_OTHER,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_ILLEGAL_ORGANIZATIONS,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_RISK_PUBLIC_HEALTH,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_TERRORIST_CONTENT,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_OTHER,These actions are violations of Discord's Terms of Service that prohibits the presence or activities of violent extremist organizations and other violent groups and the sharing of malware targeting infrastructure.  ,France ,1,1,1,>.1,4h,1,0,>.1,625h,
All,Discord,2024-02-17/2024-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_INAUTHENTIC_ACCOUNTS,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_INAUTHENTIC_LISTINGS,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_INAUTHENTIC_USER_REVIEWS,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,Estonia ,1,1,1,>.1,4h,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_PHISHING,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_PYRAMID_SCHEMES,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_OTHER,These actions are violations of Discord's Terms of Service that prohibit financial scams and fraud services. These actions also include violations by Applications of the same Discord policy.,"France, Germany, Spain ","1,1","1,1","1,1",>.1,"308h, 352h","0,0,1","0,0,0",>.1,198h,
All,Discord,2024-02-17/2024-12-31,STATEMENT_CATEGORY_SELF_HARM,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_SELF_MUTILATION,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_SUICIDE,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_OTHER,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_PROHIBITED_PRODUCTS,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_UNSAFE_PRODUCTS,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_OTHER,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,STATEMENT_CATEGORY_VIOLENCE,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_COORDINATED_HARM,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_GENDER_BASED_VIOLENCE,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_HUMAN_EXPLOITATION,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_HUMAN_TRAFFICKING,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_INCITEMENT_VIOLENCE_HATRED,,"France, Germany, Spain",0,,,,,"3,1,1","0,0,0",>.1,"399h, 575h, 681h",
All,Discord,2024-02-17/2024-12-31,KEYWORD_OTHER,,,,,,,,,,,,
